user_name,user_email,user_phone,restaurant_id,restaurant_name,food_name,food_price,payment_method,discount_applied,payment_amount,driver_name,predicted_delivery_time
George,geo656@storyboard.org,7873467113,a61a5b8d-48c5-4b8c-bc5c-fe2f87c4583d,McDonalds,Burger,30,cash,10,27,John,10
Tina,tina223@gmail.com,9878745320,987f7bed-d659-4160-b19b-70da06df52ae,Dennys,Pancake,20,card,5,19,Mary,20
Louis,satchmo@nola.gov,9865340981,0acb9cf6-89fc-40ea-90d8-2d41f1922f36,CoCoTea,Bubble Tea,50,card,15,43,Jack,30
Leon,bix@aa.org,7670863210,a61a5b8d-48c5-4b8c-bc5c-fe2f87c4583d,McDonalds,Burger,30,cash,20,24,Tomi,40
John,johntest@toast.org,7873467113,987f7bed-d659-4160-b19b-70da06df52ae,Dennys,Pancake,20,cash,30,14,John,10
Max,MAX457@novelorg.com,9878745320,0acb9cf6-89fc-40ea-90d8-2d41f1922f37,CoCoTea,Bubble Tea,50,card,10,45,Mary,20
Samuel,samuel666@samsung.org,9865340981,a61a5b8d-48c5-4b8c-bc5c-fe2f87c4583d,McDonalds,Burger,30,cash,5,29,Jack,30
Jonathan,jonathan123@cognos.org,7670863210,987f7bed-d659-4160-b19b-70da06df52ae,Dennys,Pancake,20,card,15,16,Tomi,40
Anna,anna887@wonderstorm.com,9878745320,0acb9cf6-89fc-40ea-90d8-2d41f1922f38,CoCoTea,Bubble Tea,50,cash,20,40,John,10
Emma,emma@gmail.gov,9865340981,a61a5b8d-48c5-4b8c-bc5c-fe2f87c4583d,McDonalds,Burger,30,cash,30,21,Mary,20
George,geo656@storyboard.org,7873467113,987f7bed-d659-4160-b19b-70da06df52ae,Dennys,Pancake,20,card,10,18,Jack,30
Tina,tina223@gmail.com,9878745320,0acb9cf6-89fc-40ea-90d8-2d41f1922f39,CoCoTea,Bubble Tea,50,card,5,49,Tomi,40
Louis,satchmo@nola.gov,9865340981,a61a5b8d-48c5-4b8c-bc5c-fe2f87c4583d,McDonalds,Burger,30,cash,15,26,John,10
Leon,bix@aa.org,7670863210,987f7bed-d659-4160-b19b-70da06df52ae,Dennys,Pancake,20,card,20,16,Mary,20
John,johntest@toast.org,7873467113,0acb9cf6-89fc-40ea-90d8-2d41f1922f40,CoCoTea,Bubble Tea,50,card,30,35,Jack,30
Max,MAX457@novelorg.com,9878745320,a61a5b8d-48c5-4b8c-bc5c-fe2f87c4583d,McDonalds,Burger,30,cash,10,27,Tomi,40
Samuel,samuel666@samsung.org,9865340981,987f7bed-d659-4160-b19b-70da06df52ae,Dennys,Pancake,20,card,5,19,John,10
Jonathan,jonathan123@cognos.org,7670863210,0acb9cf6-89fc-40ea-90d8-2d41f1922f41,CoCoTea,Bubble Tea,50,cash,15,43,Mary,20
Anna,anna887@wonderstorm.com,9878745320,a61a5b8d-48c5-4b8c-bc5c-fe2f87c4583d,McDonalds,Burger,30,cash,20,24,Jack,30
Emma,emma@gmail.gov,9865340981,987f7bed-d659-4160-b19b-70da06df52ae,Dennys,Pancake,20,card,30,14,Tomi,40
George,geo656@storyboard.org,7873467113,0acb9cf6-89fc-40ea-90d8-2d41f1922f42,CoCoTea,Bubble Tea,50,cash,10,45,John,10
